,REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
0,SA1,2013/07/01 00:30:00,1453.11,58.0,TRADE
1,SA1,2013/07/01 01:00:00,1395.08,55.18,TRADE
2,SA1,2013/07/01 01:30:00,1263.0,48.29,TRADE
3,SA1,2013/07/01 02:00:00,1161.96,45.82,TRADE
4,SA1,2013/07/01 02:30:00,1113.05,41.59,TRADE
5,SA1,2013/07/01 03:00:00,1063.66,40.55,TRADE
6,SA1,2013/07/01 03:30:00,1023.82,40.14,TRADE
7,SA1,2013/07/01 04:00:00,1003.38,39.78,TRADE
8,SA1,2013/07/01 04:30:00,990.49,40.14,TRADE
9,SA1,2013/07/01 05:00:00,1016.79,44.09,TRADE
10,SA1,2013/07/01 05:30:00,1019.32,44.52,TRADE
11,SA1,2013/07/01 06:00:00,1036.56,42.18,TRADE
12,SA1,2013/07/01 06:30:00,1133.46,51.04,TRADE
13,SA1,2013/07/01 07:00:00,1226.49,68.49,TRADE
14,SA1,2013/07/01 07:30:00,1349.66,49.3,TRADE
15,SA1,2013/07/01 08:00:00,1455.78,56.49,TRADE
16,SA1,2013/07/01 08:30:00,1533.31,67.84,TRADE
17,SA1,2013/07/01 09:00:00,1595.18,71.0,TRADE
18,SA1,2013/07/01 09:30:00,1627.19,70.95,TRADE
19,SA1,2013/07/01 10:00:00,1557.17,57.55,TRADE
20,SA1,2013/07/01 10:30:00,1551.98,59.61,TRADE
21,SA1,2013/07/01 11:00:00,1488.2,58.4,TRADE
22,SA1,2013/07/01 11:30:00,1440.84,56.49,TRADE
23,SA1,2013/07/01 12:00:00,1416.74,52.7,TRADE
24,SA1,2013/07/01 12:30:00,1374.7,51.18,TRADE
25,SA1,2013/07/01 13:00:00,1335.69,50.8,TRADE
26,SA1,2013/07/01 13:30:00,1319.8,50.47,TRADE
27,SA1,2013/07/01 14:00:00,1322.89,48.8,TRADE
28,SA1,2013/07/01 14:30:00,1343.34,50.49,TRADE
29,SA1,2013/07/01 15:00:00,1343.46,50.73,TRADE
30,SA1,2013/07/01 15:30:00,1341.66,51.06,TRADE
31,SA1,2013/07/01 16:00:00,1372.42,52.22,TRADE
32,SA1,2013/07/01 16:30:00,1437.04,52.54,TRADE
33,SA1,2013/07/01 17:00:00,1487.4,58.17,TRADE
34,SA1,2013/07/01 17:30:00,1578.71,67.51,TRADE
35,SA1,2013/07/01 18:00:00,1649.67,77.2,TRADE
36,SA1,2013/07/01 18:30:00,1792.37,80.57,TRADE
37,SA1,2013/07/01 19:00:00,1816.89,78.49,TRADE
38,SA1,2013/07/01 19:30:00,1803.75,79.14,TRADE
39,SA1,2013/07/01 20:00:00,1788.08,82.1,TRADE
40,SA1,2013/07/01 20:30:00,1741.09,83.36,TRADE
41,SA1,2013/07/01 21:00:00,1673.29,72.99,TRADE
42,SA1,2013/07/01 21:30:00,1629.22,68.11,TRADE
43,SA1,2013/07/01 22:00:00,1590.83,61.91,TRADE
44,SA1,2013/07/01 22:30:00,1510.28,90.84,TRADE
45,SA1,2013/07/01 23:00:00,1402.97,59.49,TRADE
46,SA1,2013/07/01 23:30:00,1371.83,53.04,TRADE
47,SA1,2013/07/02 00:00:00,1605.21,58.4,TRADE
48,SA1,2013/07/02 00:30:00,1508.55,57.89,TRADE
49,SA1,2013/07/02 01:00:00,1408.52,56.77,TRADE
