,REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
0,SA1,2007/12/01 00:30:00,1448.92,28.06,TRADE
1,SA1,2007/12/01 01:00:00,1395.51,25.91,TRADE
2,SA1,2007/12/01 01:30:00,1314.66,25.97,TRADE
3,SA1,2007/12/01 02:00:00,1240.63,21.35,TRADE
4,SA1,2007/12/01 02:30:00,1187.78,20.44,TRADE
5,SA1,2007/12/01 03:00:00,1188.42,20.78,TRADE
6,SA1,2007/12/01 03:30:00,1177.76,20.13,TRADE
7,SA1,2007/12/01 04:00:00,1177.04,19.95,TRADE
8,SA1,2007/12/01 04:30:00,1201.88,20.05,TRADE
9,SA1,2007/12/01 05:00:00,1204.23,20.24,TRADE
10,SA1,2007/12/01 05:30:00,1201.27,22.02,TRADE
11,SA1,2007/12/01 06:00:00,1173.11,20.73,TRADE
12,SA1,2007/12/01 06:30:00,1213.76,22.82,TRADE
13,SA1,2007/12/01 07:00:00,1257.26,26.72,TRADE
14,SA1,2007/12/01 07:30:00,1313.03,27.27,TRADE
15,SA1,2007/12/01 08:00:00,1359.33,28.65,TRADE
16,SA1,2007/12/01 08:30:00,1458.47,39.27,TRADE
17,SA1,2007/12/01 09:00:00,1569.3,43.43,TRADE
18,SA1,2007/12/01 09:30:00,1634.48,39.06,TRADE
19,SA1,2007/12/01 10:00:00,1672.08,31.73,TRADE
20,SA1,2007/12/01 10:30:00,1719.94,40.3,TRADE
21,SA1,2007/12/01 11:00:00,1771.89,39.23,TRADE
22,SA1,2007/12/01 11:30:00,1821.35,38.13,TRADE
23,SA1,2007/12/01 12:00:00,1856.11,37.35,TRADE
24,SA1,2007/12/01 12:30:00,1875.5,30.23,TRADE
25,SA1,2007/12/01 13:00:00,1905.21,32.16,TRADE
26,SA1,2007/12/01 13:30:00,1955.26,35.51,TRADE
27,SA1,2007/12/01 14:00:00,2001.2,36.1,TRADE
28,SA1,2007/12/01 14:30:00,2003.22,46.3,TRADE
29,SA1,2007/12/01 15:00:00,1992.0,47.95,TRADE
30,SA1,2007/12/01 15:30:00,2014.84,46.36,TRADE
31,SA1,2007/12/01 16:00:00,2048.18,63.57,TRADE
32,SA1,2007/12/01 16:30:00,2058.75,51.17,TRADE
33,SA1,2007/12/01 17:00:00,2057.12,54.72,TRADE
34,SA1,2007/12/01 17:30:00,2059.97,55.77,TRADE
35,SA1,2007/12/01 18:00:00,2023.02,38.99,TRADE
36,SA1,2007/12/01 18:30:00,1943.33,40.85,TRADE
37,SA1,2007/12/01 19:00:00,1871.32,39.76,TRADE
38,SA1,2007/12/01 19:30:00,1805.59,38.54,TRADE
39,SA1,2007/12/01 20:00:00,1764.73,38.27,TRADE
40,SA1,2007/12/01 20:30:00,1752.22,33.8,TRADE
41,SA1,2007/12/01 21:00:00,1707.64,31.17,TRADE
42,SA1,2007/12/01 21:30:00,1658.3,30.5,TRADE
43,SA1,2007/12/01 22:00:00,1580.62,28.95,TRADE
44,SA1,2007/12/01 22:30:00,1532.57,34.44,TRADE
45,SA1,2007/12/01 23:00:00,1523.19,27.62,TRADE
46,SA1,2007/12/01 23:30:00,1491.68,31.16,TRADE
47,SA1,2007/12/02 00:00:00,1611.58,30.27,TRADE
48,SA1,2007/12/02 00:30:00,1560.89,25.28,TRADE
49,SA1,2007/12/02 01:00:00,1525.6,24.46,TRADE
50,SA1,2007/12/02 01:30:00,1424.18,23.99,TRADE
51,SA1,2007/12/02 02:00:00,1354.17,21.76,TRADE
52,SA1,2007/12/02 02:30:00,1286.45,21.28,TRADE
53,SA1,2007/12/02 03:00:00,1226.63,20.48,TRADE
54,SA1,2007/12/02 03:30:00,1198.86,19.97,TRADE
55,SA1,2007/12/02 04:00:00,1189.22,19.84,TRADE
56,SA1,2007/12/02 04:30:00,1192.47,19.5,TRADE
57,SA1,2007/12/02 05:00:00,1176.75,18.91,TRADE
58,SA1,2007/12/02 05:30:00,1203.99,20.61,TRADE
