,REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
0,SA1,2010/05/01 00:30:00,1511.29,27.67,TRADE
1,SA1,2010/05/01 01:00:00,1435.33,25.15,TRADE
2,SA1,2010/05/01 01:30:00,1322.32,26.51,TRADE
3,SA1,2010/05/01 02:00:00,1208.27,24.53,TRADE
4,SA1,2010/05/01 02:30:00,1125.57,22.01,TRADE
5,SA1,2010/05/01 03:00:00,1076.25,21.31,TRADE
6,SA1,2010/05/01 03:30:00,1038.4,20.36,TRADE
7,SA1,2010/05/01 04:00:00,1000.92,18.13,TRADE
8,SA1,2010/05/01 04:30:00,966.15,15.15,TRADE
9,SA1,2010/05/01 05:00:00,969.11,15.96,TRADE
10,SA1,2010/05/01 05:30:00,970.49,15.71,TRADE
11,SA1,2010/05/01 06:00:00,971.03,17.81,TRADE
12,SA1,2010/05/01 06:30:00,984.28,18.58,TRADE
13,SA1,2010/05/01 07:00:00,1027.64,18.21,TRADE
14,SA1,2010/05/01 07:30:00,1054.45,20.94,TRADE
15,SA1,2010/05/01 08:00:00,1085.66,23.19,TRADE
16,SA1,2010/05/01 08:30:00,1146.26,24.48,TRADE
17,SA1,2010/05/01 09:00:00,1187.26,24.83,TRADE
18,SA1,2010/05/01 09:30:00,1253.78,24.45,TRADE
19,SA1,2010/05/01 10:00:00,1281.64,28.62,TRADE
20,SA1,2010/05/01 10:30:00,1267.8,29.2,TRADE
21,SA1,2010/05/01 11:00:00,1240.52,26.11,TRADE
22,SA1,2010/05/01 11:30:00,1230.37,24.64,TRADE
23,SA1,2010/05/01 12:00:00,1247.94,23.64,TRADE
24,SA1,2010/05/01 12:30:00,1247.21,22.58,TRADE
25,SA1,2010/05/01 13:00:00,1236.37,22.38,TRADE
26,SA1,2010/05/01 13:30:00,1250.52,22.89,TRADE
27,SA1,2010/05/01 14:00:00,1260.53,22.85,TRADE
28,SA1,2010/05/01 14:30:00,1237.58,22.99,TRADE
29,SA1,2010/05/01 15:00:00,1247.6,22.97,TRADE
30,SA1,2010/05/01 15:30:00,1248.04,23.3,TRADE
31,SA1,2010/05/01 16:00:00,1262.79,23.62,TRADE
32,SA1,2010/05/01 16:30:00,1276.43,24.06,TRADE
33,SA1,2010/05/01 17:00:00,1302.16,24.27,TRADE
34,SA1,2010/05/01 17:30:00,1325.17,27.09,TRADE
35,SA1,2010/05/01 18:00:00,1357.83,45.37,TRADE
36,SA1,2010/05/01 18:30:00,1442.27,57.62,TRADE
37,SA1,2010/05/01 19:00:00,1512.71,47.69,TRADE
38,SA1,2010/05/01 19:30:00,1498.42,35.03,TRADE
39,SA1,2010/05/01 20:00:00,1457.03,28.6,TRADE
40,SA1,2010/05/01 20:30:00,1429.5,26.7,TRADE
41,SA1,2010/05/01 21:00:00,1404.55,25.68,TRADE
42,SA1,2010/05/01 21:30:00,1364.49,25.01,TRADE
43,SA1,2010/05/01 22:00:00,1350.09,23.89,TRADE
44,SA1,2010/05/01 22:30:00,1344.27,23.92,TRADE
45,SA1,2010/05/01 23:00:00,1342.97,22.85,TRADE
46,SA1,2010/05/01 23:30:00,1349.73,27.4,TRADE
47,SA1,2010/05/02 00:00:00,1550.75,25.22,TRADE
48,SA1,2010/05/02 00:30:00,1479.15,23.82,TRADE
49,SA1,2010/05/02 01:00:00,1430.68,23.45,TRADE
50,SA1,2010/05/02 01:30:00,1335.96,23.98,TRADE
51,SA1,2010/05/02 02:00:00,1241.21,21.93,TRADE
52,SA1,2010/05/02 02:30:00,1161.88,18.59,TRADE
53,SA1,2010/05/02 03:00:00,1105.5,17.27,TRADE
54,SA1,2010/05/02 03:30:00,1056.97,14.73,TRADE
55,SA1,2010/05/02 04:00:00,1031.15,15.8,TRADE
56,SA1,2010/05/02 04:30:00,1013.78,15.48,TRADE
57,SA1,2010/05/02 05:00:00,990.7,14.64,TRADE
58,SA1,2010/05/02 05:30:00,985.49,14.77,TRADE
59,SA1,2010/05/02 06:00:00,993.79,15.27,TRADE
60,SA1,2010/05/02 06:30:00,1005.04,15.09,TRADE
61,SA1,2010/05/02 07:00:00,1032.37,15.04,TRADE
62,SA1,2010/05/02 07:30:00,1036.61,15.76,TRADE
63,SA1,2010/05/02 08:00:00,1051.42,19.21,TRADE
64,SA1,2010/05/02 08:30:00,1099.88,21.77,TRADE
65,SA1,2010/05/02 09:00:00,1135.02,22.83,TRADE
66,SA1,2010/05/02 09:30:00,1169.39,23.75,TRADE
67,SA1,2010/05/02 10:00:00,1198.6,24.34,TRADE
68,SA1,2010/05/02 10:30:00,1229.87,24.66,TRADE
69,SA1,2010/05/02 11:00:00,1266.42,23.71,TRADE
70,SA1,2010/05/02 11:30:00,1283.95,24.09,TRADE
71,SA1,2010/05/02 12:00:00,1303.43,24.39,TRADE
72,SA1,2010/05/02 12:30:00,1305.9,24.14,TRADE
73,SA1,2010/05/02 13:00:00,1319.36,24.28,TRADE
74,SA1,2010/05/02 13:30:00,1318.41,24.37,TRADE
75,SA1,2010/05/02 14:00:00,1322.92,24.37,TRADE
76,SA1,2010/05/02 14:30:00,1310.29,24.25,TRADE
77,SA1,2010/05/02 15:00:00,1306.27,24.42,TRADE
