,REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
0,QLD1,2007/11/01 00:30:00,5005.88,29.02,TRADE
1,QLD1,2007/11/01 01:00:00,4813.37,26.57,TRADE
2,QLD1,2007/11/01 01:30:00,4642.69,27.51,TRADE
3,QLD1,2007/11/01 02:00:00,4521.73,25.88,TRADE
4,QLD1,2007/11/01 02:30:00,4458.19,24.32,TRADE
5,QLD1,2007/11/01 03:00:00,4454.26,22.56,TRADE
6,QLD1,2007/11/01 03:30:00,4473.5,22.78,TRADE
7,QLD1,2007/11/01 04:00:00,4459.48,22.74,TRADE
8,QLD1,2007/11/01 04:30:00,4498.91,25.32,TRADE
9,QLD1,2007/11/01 05:00:00,4605.59,27.06,TRADE
10,QLD1,2007/11/01 05:30:00,4795.55,28.47,TRADE
11,QLD1,2007/11/01 06:00:00,5070.15,42.23,TRADE
12,QLD1,2007/11/01 06:30:00,5518.79,57.59,TRADE
13,QLD1,2007/11/01 07:00:00,5928.55,99.04,TRADE
14,QLD1,2007/11/01 07:30:00,6322.14,57.38,TRADE
15,QLD1,2007/11/01 08:00:00,6533.34,57.22,TRADE
16,QLD1,2007/11/01 08:30:00,6673.16,68.34,TRADE
17,QLD1,2007/11/01 09:00:00,6781.6,83.63,TRADE
18,QLD1,2007/11/01 09:30:00,6843.73,90.84,TRADE
19,QLD1,2007/11/01 10:00:00,6843.12,62.83,TRADE
20,QLD1,2007/11/01 10:30:00,6875.69,50.51,TRADE
21,QLD1,2007/11/01 11:00:00,6917.14,47.81,TRADE
22,QLD1,2007/11/01 11:30:00,7023.95,47.51,TRADE
23,QLD1,2007/11/01 12:00:00,7069.97,44.7,TRADE
24,QLD1,2007/11/01 12:30:00,7107.07,68.23,TRADE
25,QLD1,2007/11/01 13:00:00,7122.98,70.71,TRADE
26,QLD1,2007/11/01 13:30:00,7089.27,47.02,TRADE
27,QLD1,2007/11/01 14:00:00,7106.36,45.15,TRADE
28,QLD1,2007/11/01 14:30:00,7105.55,45.02,TRADE
29,QLD1,2007/11/01 15:00:00,7095.45,47.29,TRADE
30,QLD1,2007/11/01 15:30:00,7102.95,65.18,TRADE
31,QLD1,2007/11/01 16:00:00,7097.55,68.12,TRADE
32,QLD1,2007/11/01 16:30:00,7083.78,59.96,TRADE
33,QLD1,2007/11/01 17:00:00,7068.99,56.74,TRADE
34,QLD1,2007/11/01 17:30:00,6958.09,45.79,TRADE
35,QLD1,2007/11/01 18:00:00,6926.23,52.98,TRADE
36,QLD1,2007/11/01 18:30:00,6973.79,57.28,TRADE
37,QLD1,2007/11/01 19:00:00,7064.79,47.22,TRADE
38,QLD1,2007/11/01 19:30:00,6945.28,44.15,TRADE
39,QLD1,2007/11/01 20:00:00,6795.4,39.11,TRADE
40,QLD1,2007/11/01 20:30:00,6582.27,36.0,TRADE
41,QLD1,2007/11/01 21:00:00,6418.89,32.94,TRADE
42,QLD1,2007/11/01 21:30:00,6305.39,31.84,TRADE
43,QLD1,2007/11/01 22:00:00,6025.58,25.43,TRADE
44,QLD1,2007/11/01 22:30:00,5852.43,38.32,TRADE
45,QLD1,2007/11/01 23:00:00,5701.81,43.39,TRADE
46,QLD1,2007/11/01 23:30:00,5642.03,43.94,TRADE
47,QLD1,2007/11/02 00:00:00,5427.33,36.58,TRADE
48,QLD1,2007/11/02 00:30:00,5157.85,27.96,TRADE
49,QLD1,2007/11/02 01:00:00,4994.74,24.41,TRADE
50,QLD1,2007/11/02 01:30:00,4837.72,24.53,TRADE
51,QLD1,2007/11/02 02:00:00,4725.38,27.73,TRADE
52,QLD1,2007/11/02 02:30:00,4653.43,25.56,TRADE
53,QLD1,2007/11/02 03:00:00,4620.43,32.57,TRADE
54,QLD1,2007/11/02 03:30:00,4630.07,30.23,TRADE
55,QLD1,2007/11/02 04:00:00,4620.19,26.91,TRADE
56,QLD1,2007/11/02 04:30:00,4687.53,29.71,TRADE
57,QLD1,2007/11/02 05:00:00,4730.19,27.01,TRADE
58,QLD1,2007/11/02 05:30:00,4880.99,28.48,TRADE
59,QLD1,2007/11/02 06:00:00,5149.22,34.48,TRADE
60,QLD1,2007/11/02 06:30:00,5574.8,47.63,TRADE
61,QLD1,2007/11/02 07:00:00,6037.5,85.47,TRADE
62,QLD1,2007/11/02 07:30:00,6399.44,43.14,TRADE
